OTUID,V92S41260,SSLF1563,SLS31664,SFR2044,V57VSLS520,VSLS52145,SSL2246,SL529,Soil72,SOIL72,SOIL82,S4WOOD,SOIL4,SOIL4FRASS,SOILA,SOILVELVET,SWOODSPIDER,V88soil,SLSU856,SLS4957
c75905f47c8a34799e0038354ca83cab,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0
9264437463b0c62157768a462400f9ec,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0
4c0cbd3e7e9c0b6f841703905f98c08c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ef5dd4bd0461325bde4d9d9e5979814f,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0
6ffdcb606193a6e68a957c8128203532,0,0,0,0,0,0,552,0,0,0,0,0,0,0,0,0,0,0,0,0
661307f9f253198971745ee483675662,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bad5a4194fe2e70ee126dccccbc42c1f,0,0,0,0,0,0,0,0,0,0,0,1489,0,0,0,0,141,0,0,0
679960ad0cf56af68a19d1f7fa56b5d1,0,0,0,0,0,0,0,0,0,0,0,78,0,0,56,0,0,0,0,0
128f6c46b2287b55b8fa883aeaf6f914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11af780b2352a0340bd9c4b603f5a250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0
33d7d656db13d20e7743bbf71ff63313,0,0,0,0,0,0,380,0,0,0,0,0,0,0,0,0,0,0,0,0
febd3057bb526630f48caf3c7cf71269,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0
2da1c4141a0dd01eb11d58ae81c5c038,0,0,0,0,0,0,0,0,69,60,113,877,656,146,1711,47,24,377,0,0
eae35179a1611bef6b32859c928c5c10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0
6816a23e8ed0ccf146245fe8adef2797,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,13,0,0,0,0
5d74c25e0c54132d3a7ee9b7118e950c,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
3b0040d17fc2b4cbf354e3271ecf3170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c3670ce77a074cbab536968f126a10be,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464,0
